family,symbol,seeds_positive_return,seeds_bootstrap_ci_gt0,seeds_survive_2x_costs,seeds_beat_buy_and_hold,required_per_criterion,promoted,mean_oos_sharpe_rs
crt_htf_range_reversal,BTCUSDT,3,0,0,0,6,False,-0.329
crt_htf_range_reversal,ETHUSDT,1,0,0,4,6,False,-0.568
crt_three_candle_model,BTCUSDT,0,0,0,0,6,False,-0.543
crt_three_candle_model,ETHUSDT,3,0,0,7,6,False,-0.166
double_sweep_reversal,BTCUSDT,5,0,1,0,6,False,-0.119
double_sweep_reversal,ETHUSDT,6,0,2,10,6,False,-0.188
failed_breakout_reversal,BTCUSDT,6,0,0,0,6,False,-0.139
failed_breakout_reversal,ETHUSDT,0,0,0,6,6,False,-0.357
opening_range_breakout_retest,BTCUSDT,0,0,0,0,6,False,-0.723
opening_range_breakout_retest,ETHUSDT,1,0,0,10,6,False,-0.483
pdh_reclaim_short,BTCUSDT,5,0,2,0,6,False,0.153
pdh_reclaim_short,ETHUSDT,0,0,0,3,6,False,-0.207
pdl_reclaim_long,BTCUSDT,10,0,6,0,6,False,0.163
pdl_reclaim_long,ETHUSDT,0,0,0,4,6,False,-0.295
session_liquidity_sweep,BTCUSDT,3,0,0,0,6,False,-0.454
session_liquidity_sweep,ETHUSDT,0,0,0,9,6,False,-0.911
session_range_rotation,BTCUSDT,1,0,1,0,6,False,-0.723
session_range_rotation,ETHUSDT,0,0,0,10,6,False,-0.576
