round,family,symbol,seed,scenario,n_bars,total_return,sharpe,ann_volatility,max_drawdown,ci_low,ci_high,ci_excludes_zero,bh_total_return,beats_bh,positive
R2,momentum,BTCUSDT,278037,taker_4_1,32385,-0.1460407400985606,0.018560265100240354,0.3113262548195387,-0.4319370496653955,-0.011645711617748739,0.01239237087225758,False,0.522747844787544,False,False
R2,momentum,BTCUSDT,278037,maker_2_1,32385,-0.04092862566852462,0.11937355630765135,0.31125643358455135,-0.40147455316940706,-0.010457982276753238,0.013468583954225774,False,0.5230520209126748,False,False
R2,momentum,BTCUSDT,278037,no_fees,32385,0.14143256477476274,0.2706418526125998,0.311193634522387,-0.3641374962663513,-0.00868006986085729,0.015009069642419364,False,0.5235082851004165,False,True
R2,momentum,BTCUSDT,278037,gross,32385,0.21625199723337984,0.3258252112944986,0.3112210246553595,-0.35635878307614555,-0.008118756043526514,0.0156110548441898,False,1.0065896149726061,False,True
R2,momentum,BTCUSDT,341110,taker_4_1,32385,-0.3454353467544663,-0.2261274084017946,0.30333329384001234,-0.53900738085811,-0.014779987242362307,0.01044576546864865,False,0.522747844787544,False,False
R2,momentum,BTCUSDT,341110,maker_2_1,32385,-0.26560794272563204,-0.1236023333725259,0.3032707928445974,-0.5158395794128127,-0.013605881949967936,0.011502179731957742,False,0.5230520209126748,False,False
R2,momentum,BTCUSDT,341110,no_fees,32385,-0.1272897728343595,0.030260301692141188,0.30321949272222826,-0.4852374905636576,-0.011866630176662852,0.013125061878799589,False,0.5235082851004165,False,False
R2,momentum,BTCUSDT,341110,gross,32385,-0.0696257974021719,0.0873483856924802,0.3032370199671311,-0.48316438618716995,-0.011235146943853573,0.013701166028735993,False,1.0065896149726061,False,False
R2,momentum,BTCUSDT,605142,taker_4_1,32385,-0.4114161102848267,-0.33510973365773566,0.2965383841043631,-0.5942391106326772,-0.015744188344376638,0.010523954168418422,False,0.522747844787544,False,False
R2,momentum,BTCUSDT,605142,maker_2_1,32385,-0.32950909442606924,-0.21640225525874218,0.29645888738046805,-0.5746126071968156,-0.014404108266304895,0.011650981258694074,False,0.5230520209126748,False,False
R2,momentum,BTCUSDT,605142,no_fees,32385,-0.1848327152817928,-0.03821553454667821,0.29638683093597135,-0.5514519613212853,-0.012398405662979676,0.013320808434508403,False,0.5235082851004165,False,False
R2,momentum,BTCUSDT,605142,gross,32385,-0.13829108013863578,0.012489295094529783,0.29642165685057775,-0.5487182604607295,-0.011777536115957622,0.013967818226120633,False,1.0065896149726061,False,False
R2,momentum,BTCUSDT,671194,taker_4_1,32385,-0.16787119244936055,0.0022203751381893815,0.3174546765663123,-0.44024630141468357,-0.012294152074742886,0.013193857164355732,False,0.522747844787544,False,False
R2,momentum,BTCUSDT,671194,maker_2_1,32385,-0.05718586892209965,0.10858282045004898,0.31738648144695963,-0.41598609498730765,-0.0110390714207391,0.014283300401166136,False,0.5230520209126748,False,False
R2,momentum,BTCUSDT,671194,no_fees,32385,0.13698989444692278,0.26817516885297776,0.3173280210003321,-0.3844792690358043,-0.009153918750263038,0.015915955973508967,False,0.5235082851004165,False,True
R2,momentum,BTCUSDT,671194,gross,32385,0.22005954027502694,0.32828085693408093,0.31734372337831734,-0.37533854338825434,-0.00858249418442496,0.01663684205470251,False,1.0065896149726061,False,True
R2,momentum,BTCUSDT,683778,taker_4_1,32385,-0.2018780802122676,-0.03741898511037756,0.31378828150055516,-0.4514598798988366,-0.011822261818194436,0.012340266308375012,False,0.522747844787544,False,False
R2,momentum,BTCUSDT,683778,maker_2_1,32385,-0.09045555397607519,0.0751789948792067,0.31371909587802455,-0.42446943256891034,-0.010580546270025673,0.013434725075101588,False,0.5230520209126748,False,False
R2,momentum,BTCUSDT,683778,no_fees,32385,0.1064526510329129,0.24413409834608862,0.3136602990937981,-0.38148471804232775,-0.008734627127088139,0.015119653393437857,False,0.5235082851004165,False,True
R2,momentum,BTCUSDT,683778,gross,32385,0.18976759864150394,0.3067404256478929,0.31368138719678185,-0.372011790855876,-0.008039053824455397,0.015645486759086828,False,1.0065896149726061,False,True
R2,momentum,BTCUSDT,692467,taker_4_1,32385,-0.38574595129749345,-0.29519539592289473,0.2970322298318464,-0.5117991884738831,-0.015191739857169198,0.009855382994869327,False,0.522747844787544,False,False
R2,momentum,BTCUSDT,692467,maker_2_1,32385,-0.31097896280380444,-0.19068686651507855,0.29697720070230027,-0.4703617279715707,-0.013926459728543769,0.010913892874631285,False,0.5230520209126748,False,False
R2,momentum,BTCUSDT,692467,no_fees,32385,-0.1814603291344996,-0.03384687161646507,0.29693466664008605,-0.43658733312416675,-0.01206671841911132,0.012386405669475338,False,0.5235082851004165,False,False
R2,momentum,BTCUSDT,692467,gross,32385,-0.1418499410708881,0.009227210312204914,0.29696268083953425,-0.4332415537845231,-0.011623420764756394,0.01273913567121402,False,1.0065896149726061,False,False
R2,momentum,BTCUSDT,693857,taker_4_1,32385,-0.35507232413161816,-0.2471121256491645,0.29903737152979454,-0.5636300997866017,-0.015601821519900432,0.00982251485093455,False,0.522747844787544,False,False
R2,momentum,BTCUSDT,693857,maker_2_1,32385,-0.27278376393696313,-0.13860031119417035,0.2989624495968795,-0.5457166733971147,-0.014398633429355821,0.01095424213626472,False,0.5230520209126748,False,False
R2,momentum,BTCUSDT,693857,no_fees,32385,-0.12929600251725837,0.024265796709831592,0.29889475725368225,-0.5183712069838841,-0.012635600215167998,0.01268370094586213,False,0.5235082851004165,False,False
R2,momentum,BTCUSDT,693857,gross,32385,-0.07547967019152046,0.07855807859377896,0.2989216376661181,-0.5156905575820292,-0.012048218303271014,0.013373481437172761,False,1.0065896149726061,False,False
R2,momentum,BTCUSDT,707014,taker_4_1,32385,-0.5884323164343885,-0.6263687244116882,0.3077068807207494,-0.6347329428553743,-0.019452163270124643,0.006075284460180278,False,0.522747844787544,False,False
R2,momentum,BTCUSDT,707014,maker_2_1,32385,-0.5341518346488265,-0.5176601601778003,0.3076354399341726,-0.5884594014857103,-0.018224156208194047,0.0072038592014613155,False,0.5230520209126748,False,False
R2,momentum,BTCUSDT,707014,no_fees,32385,-0.4390472581818773,-0.3544504025154134,0.3075735771589535,-0.5094672225860672,-0.01633359803083461,0.008905868619966928,False,0.5235082851004165,False,False
R2,momentum,BTCUSDT,707014,gross,32385,-0.40796809920084975,-0.3070415602062484,0.3075681618903245,-0.4825011506296315,-0.015891543857922477,0.009452349760462806,False,1.0065896149726061,False,False
R2,momentum,BTCUSDT,765570,taker_4_1,32385,-0.45675141063566116,-0.46790672546872014,0.27301554261609434,-0.567220143525933,-0.016748319951051152,0.007374420516550871,False,0.522747844787544,False,False
R2,momentum,BTCUSDT,765570,maker_2_1,32385,-0.39645515165224465,-0.36374365863639846,0.2729660547740405,-0.5311476603845207,-0.015647038614136844,0.008394121430945737,False,0.5230520209126748,False,False
R2,momentum,BTCUSDT,765570,no_fees,32385,-0.2932614009842095,-0.2073990002876327,0.27293027313432117,-0.47133979956666283,-0.013927434885924074,0.00994492417287979,False,0.5235082851004165,False,False
