round,family,symbol,scenario,n_seeds,mean_total_return,mean_sharpe,median_sharpe,n_seeds_positive,n_seeds_ci_excludes_zero,n_seeds_beat_bh,majority_required,majority_positive,majority_beats_bh,bh_total_return
R3,BTC_ETH_confirmation,BTCUSDT,taker_4_1,10,-0.5985165269728591,-0.5044514948692568,-0.5486058697854144,1,0,0,6,False,False,0.522747844787544
R3,BTC_ETH_confirmation,BTCUSDT,maker_2_1,10,-0.5052407701151583,-0.35888641003575744,-0.39933945774792734,1,0,0,6,False,False,0.5230520209126748
R3,BTC_ETH_confirmation,BTCUSDT,no_fees,10,-0.32195913473877547,-0.14038828718137183,-0.17529692808311215,1,0,1,6,False,False,0.5235082851004165
R3,BTC_ETH_confirmation,BTCUSDT,gross,10,-0.2721218483963911,-0.09376632994861314,-0.12344414425451926,1,0,0,6,False,False,1.0065896149726061
R3,BTC_ETH_confirmation,ETHUSDT,taker_4_1,10,-0.6986511002694403,-0.4401094790131948,-0.29766293592600607,0,0,0,6,False,False,-0.2190192992677874
R3,BTC_ETH_confirmation,ETHUSDT,maker_2_1,10,-0.6141902423671917,-0.3117393813698517,-0.1748767720964679,0,0,0,6,False,False,-0.21886363421170063
R3,BTC_ETH_confirmation,ETHUSDT,no_fees,10,-0.4401738545442546,-0.11908905705700774,0.009368594055430545,0,0,3,6,False,False,-0.21863013662755293
R3,BTC_ETH_confirmation,ETHUSDT,gross,10,-0.4040285791369128,-0.0885116924474906,0.032979796655954546,2,0,2,6,False,False,0.009306446361522447
R3,breakout,BTCUSDT,taker_4_1,10,-0.16103806359393152,-0.7490723036486808,-0.7308026909947924,0,0,0,6,False,False,0.522747844787544
R3,breakout,BTCUSDT,maker_2_1,10,-0.1040012532840225,-0.46320914640124417,-0.43800258364461475,0,0,0,6,False,False,0.5230520209126748
R3,breakout,BTCUSDT,no_fees,10,-0.011029190343131556,-0.03249756297799378,0.006996133712959342,2,0,0,6,False,False,0.5235082851004165
R3,breakout,BTCUSDT,gross,10,-0.011095668734092156,-0.03273506904393851,0.009471534438330745,2,0,0,6,False,False,1.0065896149726061
R3,breakout,ETHUSDT,taker_4_1,10,-0.2613426444271821,-1.06638915287335,-1.0545238570959896,0,0,0,6,False,False,-0.2190192992677874
R3,breakout,ETHUSDT,maker_2_1,10,-0.19282617789877293,-0.7456453584857576,-0.7337103288184557,0,0,8,6,False,True,-0.21886363421170063
R3,breakout,ETHUSDT,no_fees,10,-0.07796630820976361,-0.2610687011663087,-0.24902792628823972,0,0,10,6,False,True,-0.21863013662755293
R3,breakout,ETHUSDT,gross,10,-0.07661889887521581,-0.25585114488035765,-0.24406115683192245,0,0,0,6,False,False,0.009306446361522447
S2,flow_price_divergence,BTCUSDT,taker_4_1,3,-0.05171641363842391,-0.23786471097711212,-0.5342047968703739,1,0,0,2,False,False,0.7815749946615533
S2,flow_price_divergence,BTCUSDT,maker_2_1,3,-0.03141753103954777,-0.14140845753778616,-0.43546553632518803,1,0,0,2,False,False,0.7819308727410239
S2,flow_price_divergence,BTCUSDT,no_fees,3,-0.00011118811460956539,0.0036247047958697745,-0.2866440953343048,1,0,0,2,False,False,0.7824646898602525
S2,flow_price_divergence,BTCUSDT,gross,3,-0.0007766828092314141,0.0015469551977734624,-0.29127983761095827,1,0,0,2,False,False,1.3159229603169278
S2,flow_price_divergence,ETHUSDT,taker_4_1,3,-0.08698025771850615,-0.35186629506130407,-0.3068578295770773,0,0,0,2,False,False,0.7044810258855423
S2,flow_price_divergence,ETHUSDT,maker_2_1,3,-0.0696317596381512,-0.2723191606403423,-0.2285452557395091,0,0,0,2,False,False,0.704822857156846
S2,flow_price_divergence,ETHUSDT,no_fees,3,-0.0429837000447999,-0.15270869019955177,-0.11100263803899554,0,0,0,2,False,False,0.7053356040638559
S2,flow_price_divergence,ETHUSDT,gross,3,-0.04536150179805828,-0.16233193601744228,-0.12558792527007706,0,0,0,2,False,False,1.10990798936791
R3,funding,BTCUSDT,taker_4_1,10,-0.4053663264266544,-0.26745369056968754,-0.26885384310592225,0,0,0,6,False,False,0.522747844787544
R3,funding,BTCUSDT,maker_2_1,10,-0.3552209425013643,-0.20145732866912347,-0.2126745983051188,0,0,0,6,False,False,0.5230520209126748
R3,funding,BTCUSDT,no_fees,10,-0.271789955868737,-0.10242670567332698,-0.12346074652044275,0,0,0,6,False,False,0.5235082851004165
R3,funding,BTCUSDT,gross,10,-0.26254598089552056,-0.09189907389739763,-0.1177412516553064,0,0,0,6,False,False,1.0065896149726061
R3,funding,ETHUSDT,taker_4_1,10,-0.47128839674492734,-0.2871174614003983,-0.31523602254726624,1,0,1,6,False,False,-0.2190192992677874
R3,funding,ETHUSDT,maker_2_1,10,-0.4119220569459422,-0.22175735698102636,-0.25428614977850916,1,0,2,6,False,False,-0.21886363421170063
