round,family,symbol,criterion,n_pass,required,of_seeds,met,verdict
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,not_confined_to_one_fold,7,6,10,true,REJECTED
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,positive_total_return,3,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,survives_double_costs,0,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_htf_range_reversal,BTCUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,beats_buy_and_hold,4,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,not_confined_to_one_fold,9,6,10,true,REJECTED
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,positive_total_return,1,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,survives_double_costs,0,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_htf_range_reversal,ETHUSDT,survives_drop_top_trades,1,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,not_confined_to_one_fold,10,6,10,true,REJECTED
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,positive_total_return,0,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,survives_double_costs,0,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_three_candle_model,BTCUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_three_candle_model,ETHUSDT,beats_buy_and_hold,7,6,10,true,REJECTED
CRT_INTRADAY_V1,crt_three_candle_model,ETHUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_three_candle_model,ETHUSDT,not_confined_to_one_fold,7,6,10,true,REJECTED
CRT_INTRADAY_V1,crt_three_candle_model,ETHUSDT,positive_total_return,3,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_three_candle_model,ETHUSDT,survives_double_costs,0,6,10,false,REJECTED
CRT_INTRADAY_V1,crt_three_candle_model,ETHUSDT,survives_drop_top_trades,0,6,10,false,REJECTED
CRT_INTRADAY_V1,double_sweep_reversal,BTCUSDT,beats_buy_and_hold,0,6,10,false,REJECTED
CRT_INTRADAY_V1,double_sweep_reversal,BTCUSDT,bootstrap_sharpe_ci_excludes_zero,0,6,10,false,REJECTED
CRT_INTRADAY_V1,double_sweep_reversal,BTCUSDT,not_confined_to_one_fold,6,6,10,true,REJECTED
CRT_INTRADAY_V1,double_sweep_reversal,BTCUSDT,positive_total_return,5,6,10,false,REJECTED
CRT_INTRADAY_V1,double_sweep_reversal,BTCUSDT,survives_double_costs,1,6,10,false,REJECTED
