round,family,symbol,seed,engine,budget_per_fold,n_folds,unique_evaluations,oos_bars,compounded_oos_return,median_fold_test_sharpe,folds_positive_return,folds_with_trades,total_test_trades,oos_bootstrap_p_value,mechanically_viable,run_dir
S2-B (pilot),flow_price_divergence,BTCUSDT,42,genetic_algorithm,25,15,375,30226,-0.06948980187714748,0.0,5,10,72.0,0.8005,true,artifacts/runs/search_flow_price_divergence_20260811T161148Z_1af176
S2-B (pilot),flow_price_divergence,BTCUSDT,42,random_search,25,15,375,30226,-0.16709073719014367,-0.6568396013350634,3,10,118.0,0.9255,true,artifacts/runs/search_flow_price_divergence_20260811T161148Z_1af176
S2-B (pilot),flow_price_divergence,BTCUSDT,43,genetic_algorithm,25,15,375,30226,0.14035722442594856,0.0,5,10,86.0,0.0505,true,artifacts/runs/search_flow_price_divergence_20260811T161158Z_de67de
S2-B (pilot),flow_price_divergence,BTCUSDT,43,random_search,25,15,375,30226,0.1551342809500793,0.060655539156402934,7,12,76.0,0.0975,true,artifacts/runs/search_flow_price_divergence_20260811T161158Z_de67de
S2-B (pilot),flow_price_divergence,BTCUSDT,44,genetic_algorithm,25,15,375,28067,-0.12654728599660603,-0.39641064051059643,4,12,88.0,0.9455,true,artifacts/runs/search_flow_price_divergence_20260811T161209Z_2c98b5
S2-B (pilot),flow_price_divergence,BTCUSDT,44,random_search,25,15,375,30226,-0.14319278467520735,-0.4697131433763564,5,13,134.0,0.8675,true,artifacts/runs/search_flow_price_divergence_20260811T161209Z_2c98b5
S2-B (pilot),flow_price_divergence,ETHUSDT,42,genetic_algorithm,25,15,375,28067,0.029857131806700465,0.0,5,11,87.0,0.3695,true,artifacts/runs/search_flow_price_divergence_20260811T161222Z_1cf9ce
S2-B (pilot),flow_price_divergence,ETHUSDT,42,random_search,25,15,375,23749,-0.09992214504031727,-0.12655630253176742,3,9,78.0,0.7965,true,artifacts/runs/search_flow_price_divergence_20260811T161222Z_1cf9ce
S2-B (pilot),flow_price_divergence,ETHUSDT,43,genetic_algorithm,25,15,375,25908,-0.09977209825933342,-0.2489400966181078,4,11,72.0,0.768,true,artifacts/runs/search_flow_price_divergence_20260811T161232Z_9f71ca
S2-B (pilot),flow_price_divergence,ETHUSDT,43,random_search,25,15,375,28067,-0.06626597636960174,0.0,5,11,94.0,0.6655,true,artifacts/runs/search_flow_price_divergence_20260811T161232Z_9f71ca
S2-B (pilot),flow_price_divergence,ETHUSDT,44,genetic_algorithm,25,15,375,28067,0.0196707869587307,0.0,5,11,112.0,0.3955,true,artifacts/runs/search_flow_price_divergence_20260811T161243Z_0ad5e5
S2-B (pilot),flow_price_divergence,ETHUSDT,44,random_search,25,15,375,25908,-0.09475265174560055,-0.9038103363207521,3,11,110.0,0.69,true,artifacts/runs/search_flow_price_divergence_20260811T161243Z_0ad5e5
S2-B (pilot),illiquidity_reversion,BTCUSDT,42,genetic_algorithm,25,15,375,32385,-0.26791285411579546,-0.6761664923460712,4,14,426.0,0.9125,true,artifacts/runs/search_illiquidity_reversion_20260811T161050Z_195697
S2-B (pilot),illiquidity_reversion,BTCUSDT,42,random_search,25,15,375,32385,-0.48751225954851574,-0.9636670400423365,2,14,471.0,0.9955,true,artifacts/runs/search_illiquidity_reversion_20260811T161050Z_195697
S2-B (pilot),illiquidity_reversion,BTCUSDT,43,genetic_algorithm,25,15,375,32385,-0.36252677929036525,-0.3979538632591077,5,15,319.0,0.984,true,artifacts/runs/search_illiquidity_reversion_20260811T161100Z_ade689
S2-B (pilot),illiquidity_reversion,BTCUSDT,43,random_search,25,15,375,32385,-0.3309362358089879,-0.17299064722373345,6,15,493.0,0.912,true,artifacts/runs/search_illiquidity_reversion_20260811T161100Z_ade689
S2-B (pilot),illiquidity_reversion,BTCUSDT,44,genetic_algorithm,25,15,375,32385,-0.4916841226130384,-1.1367873144099936,2,15,523.0,0.9945,true,artifacts/runs/search_illiquidity_reversion_20260811T161109Z_1f9509
