family,multiplier,barrier,n_paths,prob_breach,mc_se,wilson_lo,wilson_hi
pdl_reclaim_long,0.25000000,0.90000000,4000,0.00075000,0.00043285,0.00025510,0.00220290
pdl_reclaim_long,0.25000000,0.80000000,4000,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,0.25000000,0.70000000,4000,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,0.25000000,0.50000000,4000,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,0.50000000,0.90000000,4000,0.03500000,0.00290581,0.02973613,0.04115615
pdl_reclaim_long,0.50000000,0.80000000,4000,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,0.50000000,0.70000000,4000,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,0.50000000,0.50000000,4000,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,0.75000000,0.90000000,4000,0.12125000,0.00516112,0.11149612,0.13173066
pdl_reclaim_long,0.75000000,0.80000000,4000,0.00700000,0.00131824,0.00484759,0.01009842
pdl_reclaim_long,0.75000000,0.70000000,4000,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,0.75000000,0.50000000,4000,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,1.00000000,0.90000000,4000,0.21775000,0.00652562,0.20523409,0.23080752
pdl_reclaim_long,1.00000000,0.80000000,4000,0.02975000,0.00268630,0.02491934,0.03548302
pdl_reclaim_long,1.00000000,0.70000000,4000,0.00150000,0.00061191,0.00068764,0.00326893
pdl_reclaim_long,1.00000000,0.50000000,4000,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,1.25000000,0.90000000,4000,0.30575000,0.00728469,0.29166427,0.32020847
pdl_reclaim_long,1.25000000,0.80000000,4000,0.06575000,0.00391877,0.05847838,0.07385489
pdl_reclaim_long,1.25000000,0.70000000,4000,0.00925000,0.00151364,0.00671844,0.01272325
pdl_reclaim_long,1.25000000,0.50000000,4000,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,1.50000000,0.90000000,4000,0.37550000,0.00765669,0.36061933,0.39061957
pdl_reclaim_long,1.50000000,0.80000000,4000,0.11400000,0.00502504,0.10451921,0.12422148
pdl_reclaim_long,1.50000000,0.70000000,4000,0.02300000,0.00237018,0.01879192,0.02812339
pdl_reclaim_long,1.50000000,0.50000000,4000,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,2.00000000,0.90000000,4000,0.48000000,0.00789937,0.46454413,0.49549425
pdl_reclaim_long,2.00000000,0.80000000,4000,0.21350000,0.00647915,0.20107909,0.22647067
pdl_reclaim_long,2.00000000,0.70000000,4000,0.07350000,0.00412607,0.06581579,0.08200262
pdl_reclaim_long,2.00000000,0.50000000,4000,0.00350000,0.00093378,0.00208607,0.00586666
volatility_breakout,0.25000000,0.90000000,4000,0.41975000,0.00780320,0.40454014,0.43511385
volatility_breakout,0.25000000,0.80000000,4000,0.15850000,0.00577446,0.14751059,0.17014471
volatility_breakout,0.25000000,0.70000000,4000,0.03875000,0.00305157,0.03319808,0.04518701
volatility_breakout,0.25000000,0.50000000,4000,0.00025000,0.00024997,0.00004413,0.00141483
volatility_breakout,0.50000000,0.90000000,4000,0.66650000,0.00745449,0.65173586,0.68094465
volatility_breakout,0.50000000,0.80000000,4000,0.42150000,0.00780765,0.40627976,0.43687088
volatility_breakout,0.50000000,0.70000000,4000,0.24650000,0.00681428,0.23339166,0.26009477
volatility_breakout,0.50000000,0.50000000,4000,0.04900000,0.00341317,0.04273224,0.05613318
volatility_breakout,0.75000000,0.90000000,4000,0.77400000,0.00661294,0.76077954,0.78669469
volatility_breakout,0.75000000,0.80000000,4000,0.58475000,0.00779130,0.56940513,0.59993224
volatility_breakout,0.75000000,0.70000000,4000,0.41825000,0.00779931,0.40304920,0.43360767
volatility_breakout,0.75000000,0.50000000,4000,0.17150000,0.00596003,0.16013509,0.18349527
volatility_breakout,1.00000000,0.90000000,4000,0.84125000,0.00577816,0.82959831,0.85224687
volatility_breakout,1.00000000,0.80000000,4000,0.68625000,0.00733674,0.67169735,0.70044526
volatility_breakout,1.00000000,0.70000000,4000,0.54450000,0.00787432,0.52903126,0.55988334
volatility_breakout,1.00000000,0.50000000,4000,0.29225000,0.00719097,0.27836064,0.30653800
volatility_breakout,1.25000000,0.90000000,4000,0.88175000,0.00510556,0.87137512,0.89139235
volatility_breakout,1.25000000,0.80000000,4000,0.75650000,0.00678616,0.74295738,0.76955042
volatility_breakout,1.25000000,0.70000000,4000,0.63700000,0.00760314,0.62197324,0.65176387
volatility_breakout,1.25000000,0.50000000,4000,0.40050000,0.00774758,0.38541748,0.41577345
volatility_breakout,1.50000000,0.90000000,4000,0.90775000,0.00457548,0.89838679,0.91633079
volatility_breakout,1.50000000,0.80000000,4000,0.80975000,0.00620594,0.79729159,0.82161403
volatility_breakout,1.50000000,0.70000000,4000,0.70725000,0.00719457,0.69295542,0.72114689
volatility_breakout,1.50000000,0.50000000,4000,0.49500000,0.00790530,0.47951813,0.51049146
volatility_breakout,2.00000000,0.90000000,4000,0.93925000,0.00377688,0.93141757,0.94623956
volatility_breakout,2.00000000,0.80000000,4000,0.87975000,0.00514271,0.86930437,0.88946693
volatility_breakout,2.00000000,0.70000000,4000,0.81000000,0.00620282,0.79754746,0.82185769
volatility_breakout,2.00000000,0.50000000,4000,0.63725000,0.00760201,0.62222521,0.65201142
