family,quantity,value,mc_se,wilson_lo,wilson_hi,n_paths
pdl_reclaim_long,prob_mdd_gt_10,0.67325000,0.00741594,0.65855483,0.68761272,4000
pdl_reclaim_long,prob_mdd_gt_20,0.07925000,0.00427111,0.07127675,0.08803062,4000
pdl_reclaim_long,prob_mdd_gt_30,0.00425000,0.00102858,0.00265525,0.00679604,4000
pdl_reclaim_long,prob_mdd_gt_40,0.00000000,0.00000002,0.00000000,0.00095944,4000
pdl_reclaim_long,prob_mdd_gt_50,0.00000000,0.00000002,0.00000000,0.00095944,4000
pdl_reclaim_long,mdd_p01,0.05404496,,,,4000
pdl_reclaim_long,mdd_duration_days_p01,172.41208333,,,,4000
pdl_reclaim_long,mdd_p05,0.06713596,,,,4000
pdl_reclaim_long,mdd_duration_days_p05,239.24791667,,,,4000
pdl_reclaim_long,mdd_p25,0.09195551,,,,4000
pdl_reclaim_long,mdd_duration_days_p25,397.73958333,,,,4000
pdl_reclaim_long,mdd_p50,0.11785195,,,,4000
pdl_reclaim_long,mdd_duration_days_p50,584.72916667,,,,4000
pdl_reclaim_long,mdd_p75,0.15182220,,,,4000
pdl_reclaim_long,mdd_duration_days_p75,858.33333333,,,,4000
pdl_reclaim_long,mdd_p95,0.22108826,,,,4000
pdl_reclaim_long,mdd_duration_days_p95,1284.64375000,,,,4000
pdl_reclaim_long,mdd_p99,0.27637587,,,,4000
pdl_reclaim_long,mdd_duration_days_p99,1345.04208333,,,,4000
volatility_breakout,prob_mdd_gt_10,1.00000000,0.00000002,0.99904056,1.00000000,4000
volatility_breakout,prob_mdd_gt_20,0.99775000,0.00074916,0.99572908,0.99881580,4000
volatility_breakout,prob_mdd_gt_30,0.92600000,0.00413896,0.91747266,0.93370989,4000
volatility_breakout,prob_mdd_gt_40,0.71525000,0.00713561,0.70106314,0.72902382,4000
volatility_breakout,prob_mdd_gt_50,0.48025000,0.00789952,0.46479358,0.49574431,4000
volatility_breakout,mdd_p01,0.23319088,,,,4000
volatility_breakout,mdd_duration_days_p01,205.45750000,,,,4000
volatility_breakout,mdd_p05,0.28423595,,,,4000
volatility_breakout,mdd_duration_days_p05,284.45625000,,,,4000
volatility_breakout,mdd_p25,0.38670057,,,,4000
volatility_breakout,mdd_duration_days_p25,536.19791667,,,,4000
volatility_breakout,mdd_p50,0.49126621,,,,4000
volatility_breakout,mdd_duration_days_p50,844.33333333,,,,4000
volatility_breakout,mdd_p75,0.62600378,,,,4000
volatility_breakout,mdd_duration_days_p75,1201.05208333,,,,4000
volatility_breakout,mdd_p95,0.79749015,,,,4000
volatility_breakout,mdd_duration_days_p95,1341.88333333,,,,4000
volatility_breakout,mdd_p99,0.86823924,,,,4000
volatility_breakout,mdd_duration_days_p99,1348.70833333,,,,4000
