family,multiplier,n_paths,terminal_p05,terminal_p50,terminal_p95,mdd_p50,mdd_p95,prob_terminal_below_1,prob_terminal_below_1_mc_se,prob_terminal_below_1_wilson_lo,prob_terminal_below_1_wilson_hi,prob_absorbed_or_zero,prob_absorbed_or_zero_mc_se,prob_absorbed_or_zero_wilson_lo,prob_absorbed_or_zero_wilson_hi,prob_recovered_peak,prob_recovered_peak_mc_se,prob_recovered_peak_wilson_lo,prob_recovered_peak_wilson_hi,prob_below_90,prob_below_90_mc_se,prob_below_90_wilson_lo,prob_below_90_wilson_hi,prob_below_80,prob_below_80_mc_se,prob_below_80_wilson_lo,prob_below_80_wilson_hi,prob_below_70,prob_below_70_mc_se,prob_below_70_wilson_lo,prob_below_70_wilson_hi,prob_below_50,prob_below_50_mc_se,prob_below_50_wilson_lo,prob_below_50_wilson_hi
pdl_reclaim_long,0.25000000,4000,0.97048386,1.03622416,1.11053972,0.03036625,0.05940375,0.18700000,0.00616504,0.17521911,0.19938150,0.00000000,0.00000002,0.00000000,0.00095944,0.55325000,0.00786073,0.53779947,0.56859835,0.00075000,0.00043285,0.00025510,0.00220290,0.00000000,0.00000002,0.00000000,0.00095944,0.00000000,0.00000002,0.00000000,0.00095944,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,0.50000000,4000,0.94034923,1.07209998,1.23144007,0.06006782,0.11591825,0.19200000,0.00622768,0.18009176,0.20449926,0.00000000,0.00000002,0.00000000,0.00095944,0.54900000,0.00786764,0.53354002,0.56436595,0.03500000,0.00290581,0.02973613,0.04115615,0.00000000,0.00000002,0.00000000,0.00095944,0.00000000,0.00000002,0.00000000,0.00095944,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,0.75000000,4000,0.91015844,1.10752024,1.36314418,0.08926140,0.16957069,0.19800000,0.00630071,0.18594310,0.21063640,0.00000000,0.00000002,0.00000000,0.00095944,0.54850000,0.00786841,0.53303899,0.56386795,0.12125000,0.00516112,0.11149612,0.13173066,0.00700000,0.00131824,0.00484759,0.01009842,0.00000000,0.00000002,0.00000000,0.00095944,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,1.00000000,4000,0.87952290,1.14203521,1.50430700,0.11785195,0.22108826,0.20425000,0.00637440,0.19204293,0.21702458,0.00000000,0.00000002,0.00000000,0.00095944,0.54300000,0.00787640,0.52752863,0.55838886,0.21775000,0.00652562,0.20523409,0.23080752,0.02975000,0.00268630,0.02491934,0.03548302,0.00150000,0.00061191,0.00068764,0.00326893,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,1.25000000,4000,0.84807711,1.17644142,1.65680392,0.14573561,0.27014638,0.20900000,0.00642882,0.19668189,0.22187651,0.00000000,0.00000002,0.00000000,0.00095944,0.53600000,0.00788518,0.52051818,0.55141274,0.30575000,0.00728469,0.29166427,0.32020847,0.06575000,0.00391877,0.05847838,0.07385489,0.00925000,0.00151364,0.00671844,0.01272325,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,1.50000000,4000,0.81680570,1.21048967,1.82406764,0.17315301,0.31582367,0.21450000,0.00649018,0.20205656,0.22749129,0.00000000,0.00000002,0.00000000,0.00095944,0.53175000,0.00788974,0.51626332,0.54717575,0.37550000,0.00765669,0.36061933,0.39061957,0.11400000,0.00502504,0.10451921,0.12422148,0.02300000,0.00237018,0.01879192,0.02812339,0.00000000,0.00000002,0.00000000,0.00095944
pdl_reclaim_long,2.00000000,4000,0.75565482,1.27552811,2.19811945,0.22597140,0.40137454,0.22550000,0.00660776,0.21281594,0.23871080,0.00000000,0.00000002,0.00000000,0.00095944,0.52150000,0.00789838,0.50600624,0.53695250,0.48000000,0.00789937,0.46454413,0.49549425,0.21350000,0.00647915,0.20107909,0.22647067,0.07350000,0.00412607,0.06581579,0.08200262,0.00350000,0.00093378,0.00208607,0.00586666
volatility_breakout,0.25000000,4000,0.74205698,1.02239985,1.45114654,0.14506559,0.31106699,0.45175000,0.00786880,0.43638106,0.46721152,0.00000000,0.00000002,0.00000000,0.00095944,0.35975000,0.00758831,0.34501827,0.37475085,0.41975000,0.00780320,0.40454014,0.43511385,0.15850000,0.00577446,0.14751059,0.17014471,0.03875000,0.00305157,0.03319808,0.04518701,0.00025000,0.00024997,0.00004413,0.00141483
volatility_breakout,0.50000000,4000,0.53790345,1.02326887,2.05088660,0.27467030,0.53281732,0.47675000,0.00789714,0.46130160,0.49224301,0.00000000,0.00000002,0.00000000,0.00095944,0.34200000,0.00750060,0.32745696,0.35684623,0.66650000,0.00745449,0.65173586,0.68094465,0.42150000,0.00780765,0.40627976,0.43687088,0.24650000,0.00681428,0.23339166,0.26009477,0.04900000,0.00341317,0.04273224,0.05613318
volatility_breakout,0.75000000,4000,0.38135286,1.00116074,2.81792408,0.38929823,0.68974895,0.49875000,0.00790567,0.48326381,0.51423859,0.00000000,0.00000002,0.00000000,0.00095944,0.32700000,0.00741740,0.31263418,0.34169778,0.77400000,0.00661294,0.76077954,0.78669469,0.58475000,0.00779130,0.56940513,0.59993224,0.41825000,0.00779931,0.40304920,0.43360767,0.17150000,0.00596003,0.16013509,0.18349527
