family,method,block,is_primary,n_paths,terminal_p05,terminal_p50,terminal_p95,mdd_p50,mdd_p95,prob_terminal_below_1
pdl_reclaim_long,stationary,24,false,2000,0.88013206,1.13246719,1.51707403,0.11807547,0.21939007,0.21200000
pdl_reclaim_long,stationary,167,true,2000,0.88116465,1.13437409,1.49858639,0.12034987,0.22023086,0.20700000
pdl_reclaim_long,stationary,168,false,2000,0.87957954,1.14086295,1.50018383,0.11883161,0.21952221,0.20300000
pdl_reclaim_long,stationary,720,false,2000,0.89195605,1.14274907,1.48793718,0.11204839,0.21041240,0.18850000
pdl_reclaim_long,circular_mbb,24,false,2000,0.87684307,1.13330355,1.51464484,0.12007060,0.22539166,0.21300000
pdl_reclaim_long,circular_mbb,167,false,2000,0.87230653,1.13492526,1.51656270,0.11858035,0.22019750,0.21900000
pdl_reclaim_long,circular_mbb,168,false,2000,0.86705342,1.13548926,1.52444406,0.12016508,0.22498454,0.20900000
pdl_reclaim_long,circular_mbb,720,false,2000,0.89297205,1.14294335,1.47786144,0.11465097,0.21220308,0.21150000
volatility_breakout,stationary,24,false,2000,0.27212380,0.95108477,3.63209722,0.50034695,0.78992075,0.52250000
volatility_breakout,stationary,168,true,2000,0.28834198,0.96907860,3.56253597,0.49164397,0.79346187,0.51300000
volatility_breakout,stationary,720,false,2000,0.29999383,0.96436387,3.69077626,0.48835639,0.78775938,0.52150000
volatility_breakout,circular_mbb,24,false,2000,0.27073411,0.95606740,3.46864527,0.49746675,0.79557585,0.52250000
volatility_breakout,circular_mbb,168,false,2000,0.26832092,0.97315221,3.44649486,0.49599534,0.80377675,0.51500000
volatility_breakout,circular_mbb,720,false,2000,0.25513513,0.95085906,3.80230731,0.51169757,0.80539411,0.52950000
