role,round,family,symbol,engine,seed,total_return_net,sharpe_concat_ann,max_drawdown_ch7_neg,n_trades,bh_total_return_funded,max_drawdown_pos,mdd_duration_bars,mdd_duration_days,time_under_water_share,min_equity,terminal_equity
candidate,CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,random_search,278037,0.20997759,0.62172886,-0.14815801,149,0.52274784,0.14815801,15154,631.41666667,0.98956307,0.97408430,1.20997759
candidate,CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,random_search,341110,0.14529527,0.50251546,-0.09308471,141,0.52274784,0.09308471,8433,351.37500000,0.99024240,0.94831609,1.14529527
candidate,CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,random_search,605142,0.18070965,0.59691772,-0.09474962,114,0.52274784,0.09474962,10959,456.62500000,0.98984098,0.97408430,1.18070965
candidate,CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,random_search,671194,0.16928028,0.55873248,-0.09609473,127,0.52274784,0.09609473,8495,353.95833333,0.98974834,0.97408430,1.16928028
candidate,CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,random_search,683778,0.08365887,0.30174449,-0.09747052,123,0.52274784,0.09747052,12168,507.00000000,0.99061294,0.94441477,1.08365887
candidate,CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,random_search,692467,0.09471528,0.35926820,-0.11193350,114,0.52274784,0.11193350,15750,656.25000000,0.99052030,0.95394857,1.09471528
candidate,CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,random_search,693857,0.07581123,0.30005359,-0.08769813,113,0.52274784,0.08769813,7194,299.75000000,0.99079821,0.95394857,1.07581123
candidate,CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,random_search,707014,0.08957656,0.32339721,-0.12333989,125,0.52274784,0.12333989,22268,927.83333333,0.99064382,0.93663558,1.08957656
candidate,CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,random_search,765570,0.17902961,0.54066169,-0.08769813,141,0.52274784,0.08769813,7915,329.79166667,0.99002625,0.93663558,1.17902961
candidate,CRT_INTRADAY_V1,pdl_reclaim_long,BTCUSDT,random_search,891022,0.19794472,0.60910207,-0.09308471,153,0.52274784,0.09308471,7955,331.45833333,0.99008800,0.94831609,1.19794472
candidate,R3,volatility_breakout,BTCUSDT,random_search,278037,-0.48902829,-0.45713746,-0.53085857,115,0.52274784,0.53085857,28543,1189.29166667,0.98613556,0.49288095,0.51097171
candidate,R3,volatility_breakout,BTCUSDT,random_search,341110,0.05599892,0.21524140,-0.48159571,140,0.52274784,0.48159571,14408,600.33333333,0.97103597,0.55058167,1.05599892
candidate,R3,volatility_breakout,BTCUSDT,random_search,605142,0.25768455,0.35397217,-0.32392312,119,0.52274784,0.32392312,12904,537.66666667,0.94272040,0.78867455,1.25768455
candidate,R3,volatility_breakout,BTCUSDT,random_search,671194,0.07385128,0.21551070,-0.39769850,150,0.52274784,0.39769850,15249,635.37500000,0.97171530,0.93119382,1.07385128
candidate,R3,volatility_breakout,BTCUSDT,random_search,683778,-0.12967594,0.05852828,-0.49172525,168,0.52274784,0.49172525,28543,1189.29166667,0.98968658,0.76061411,0.87032406
candidate,R3,volatility_breakout,BTCUSDT,random_search,692467,0.12668851,0.26111098,-0.44553040,140,0.52274784,0.44553040,12941,539.20833333,0.98730894,0.61529172,1.12668851
candidate,R3,volatility_breakout,BTCUSDT,random_search,693857,0.82364381,0.65555449,-0.35755995,129,0.52274784,0.35755995,9070,377.91666667,0.91912923,0.80287328,1.82364381
candidate,R3,volatility_breakout,BTCUSDT,random_search,707014,-0.56168370,-0.53679181,-0.68037716,138,0.52274784,0.68037716,28543,1189.29166667,0.91387988,0.37518328,0.43831630
candidate,R3,volatility_breakout,BTCUSDT,random_search,765570,-0.37824273,-0.43916754,-0.51747377,127,0.52274784,0.51747377,28543,1189.29166667,0.92335958,0.51052330,0.62175727
candidate,R3,volatility_breakout,BTCUSDT,random_search,891022,1.31437289,0.83547924,-0.41891094,190,0.52274784,0.41891094,7051,293.79166667,0.98601204,0.84897281,2.31437289
negative_reference,R2,momentum,BTCUSDT,random_search,278037,-0.14604074,0.01856027,-0.43193705,543,0.52274784,,,,,,
negative_reference,R2,momentum,BTCUSDT,random_search,341110,-0.34543535,-0.22612741,-0.53900738,540,0.52274784,,,,,,
negative_reference,R2,momentum,BTCUSDT,random_search,605142,-0.41141611,-0.33510973,-0.59423911,625,0.52274784,,,,,,
negative_reference,R2,momentum,BTCUSDT,random_search,671194,-0.16787119,0.00222038,-0.44024630,587,0.52274784,,,,,,
negative_reference,R2,momentum,BTCUSDT,random_search,683778,-0.20187808,-0.03741899,-0.45145988,625,0.52274784,,,,,,
negative_reference,R2,momentum,BTCUSDT,random_search,692467,-0.38574595,-0.29519540,-0.51179919,563,0.52274784,,,,,,
negative_reference,R2,momentum,BTCUSDT,random_search,693857,-0.35507232,-0.24711213,-0.56363010,565,0.52274784,,,,,,
negative_reference,R2,momentum,BTCUSDT,random_search,707014,-0.58843232,-0.62636872,-0.63473294,579,0.52274784,,,,,,
negative_reference,R2,momentum,BTCUSDT,random_search,765570,-0.45675141,-0.46790673,-0.56722014,526,0.52274784,,,,,,
negative_reference,R2,momentum,BTCUSDT,random_search,891022,-0.16594767,0.00040629,-0.51663516,626,0.52274784,,,,,,
