family,bar_index,p05,p25,p50,p75,p95,observed_median_seed
pdl_reclaim_long,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pdl_reclaim_long,74,0.988267,1.000000,1.000000,1.000000,1.011387,1.000000
pdl_reclaim_long,148,0.986713,1.000000,1.000000,1.000000,1.018229,1.000000
pdl_reclaim_long,222,0.983154,0.996136,1.000000,1.003926,1.023846,1.000000
pdl_reclaim_long,296,0.981809,0.994281,1.000000,1.005876,1.029717,0.985573
pdl_reclaim_long,370,0.978820,0.992156,1.000000,1.008044,1.034520,0.985573
pdl_reclaim_long,444,0.977928,0.991512,1.000000,1.009750,1.040688,0.985573
pdl_reclaim_long,518,0.975276,0.990503,1.000000,1.011260,1.044052,0.985573
pdl_reclaim_long,592,0.972889,0.989616,1.000000,1.013012,1.046621,0.985573
pdl_reclaim_long,666,0.971615,0.988893,1.000000,1.014689,1.049020,0.980818
pdl_reclaim_long,740,0.970052,0.988274,1.000000,1.016124,1.052856,0.980818
pdl_reclaim_long,814,0.968005,0.987921,1.000000,1.017914,1.053954,0.980818
pdl_reclaim_long,888,0.967163,0.987418,1.000313,1.019292,1.056451,0.980818
pdl_reclaim_long,962,0.965819,0.987083,1.000192,1.020452,1.060006,0.980818
pdl_reclaim_long,1036,0.964418,0.986850,1.000546,1.021459,1.061766,0.980818
pdl_reclaim_long,1110,0.963098,0.986848,1.001156,1.022636,1.062775,0.997527
pdl_reclaim_long,1184,0.961381,0.986505,1.001857,1.023633,1.065542,0.999491
pdl_reclaim_long,1258,0.960383,0.986242,1.002310,1.024484,1.067340,0.999491
pdl_reclaim_long,1332,0.958093,0.985631,1.003052,1.025742,1.068164,0.999491
pdl_reclaim_long,1406,0.957652,0.985201,1.003261,1.026110,1.070168,0.999491
pdl_reclaim_long,1480,0.957133,0.984891,1.003472,1.026559,1.070878,0.999491
pdl_reclaim_long,1554,0.955706,0.984604,1.003615,1.027575,1.074327,0.999491
pdl_reclaim_long,1628,0.955113,0.984232,1.003676,1.028550,1.075566,0.999491
pdl_reclaim_long,1702,0.954169,0.983649,1.003945,1.029088,1.076795,0.999491
pdl_reclaim_long,1776,0.953951,0.982996,1.004109,1.030457,1.077824,0.999491
pdl_reclaim_long,1850,0.952958,0.982819,1.004661,1.032183,1.079167,0.999491
pdl_reclaim_long,1924,0.952262,0.982826,1.005019,1.033061,1.079904,0.999491
pdl_reclaim_long,1998,0.950337,0.982873,1.005471,1.034144,1.081540,0.999491
pdl_reclaim_long,2072,0.949533,0.982140,1.005738,1.034636,1.083833,0.999491
pdl_reclaim_long,2146,0.947823,0.981831,1.006031,1.035313,1.084178,0.999491
pdl_reclaim_long,2220,0.947278,0.981518,1.006734,1.036017,1.085377,0.999491
pdl_reclaim_long,2294,0.946790,0.981339,1.007052,1.036636,1.088290,0.999491
pdl_reclaim_long,2368,0.946435,0.981445,1.006981,1.037241,1.089868,0.999491
pdl_reclaim_long,2442,0.946285,0.981557,1.007641,1.038465,1.090545,0.999491
pdl_reclaim_long,2516,0.946842,0.981065,1.007529,1.039585,1.094005,0.986581
pdl_reclaim_long,2590,0.945407,0.981085,1.007821,1.040260,1.095710,0.986581
pdl_reclaim_long,2664,0.943988,0.980732,1.008594,1.041200,1.097838,0.986581
pdl_reclaim_long,2738,0.943089,0.980673,1.009513,1.041688,1.098331,0.986581
pdl_reclaim_long,2812,0.942166,0.980962,1.009109,1.042841,1.099437,0.986581
pdl_reclaim_long,2886,0.942489,0.981180,1.009813,1.043604,1.100920,0.986581
pdl_reclaim_long,2960,0.941274,0.980795,1.010393,1.044459,1.104136,0.976684
pdl_reclaim_long,3034,0.941547,0.980218,1.010884,1.045621,1.104261,0.976684
pdl_reclaim_long,3108,0.940387,0.979897,1.010872,1.046426,1.104264,0.976684
pdl_reclaim_long,3182,0.939850,0.979556,1.011072,1.047268,1.106069,1.021244
pdl_reclaim_long,3256,0.939792,0.979556,1.011212,1.048359,1.107780,1.010390
pdl_reclaim_long,3330,0.938591,0.979412,1.011389,1.047906,1.109187,1.015089
pdl_reclaim_long,3404,0.938157,0.979724,1.012058,1.049514,1.109251,1.003698
pdl_reclaim_long,3478,0.936890,0.979642,1.012233,1.050512,1.111399,1.003698
pdl_reclaim_long,3552,0.935818,0.979642,1.012379,1.051062,1.112221,1.003698
pdl_reclaim_long,3626,0.935376,0.979127,1.012475,1.052304,1.113440,0.993560
pdl_reclaim_long,3700,0.935083,0.979176,1.012941,1.053804,1.115084,0.993560
