layer,family,seed,method,block,n_paths,terminal_p05,terminal_p50,terminal_p95,mdd_p50,mdd_p95,prob_terminal_below_1,prob_mc_se,prob_wilson_lo,prob_wilson_hi,observed_terminal,terminal_p01,terminal_p25,terminal_p75,terminal_p99,expected_shortfall_5pct_terminal_return,sharpe_ann_p50,prob_recovered_peak,median_t_barrier50_bars,prob_loss_gt_10,prob_loss_gt_10_mc_se,prob_loss_gt_20,prob_loss_gt_20_mc_se,prob_loss_gt_30,prob_loss_gt_30_mc_se,prob_loss_gt_50,prob_loss_gt_50_mc_se,prob_terminal_below_1_mc_se,prob_terminal_below_1_wilson_lo,prob_terminal_below_1_wilson_hi
path_within_seed,pdl_reclaim_long,278037,stationary,167,1000,0.91922688,1.20374127,1.61182779,0.11761001,0.21303514,0.13300000,0.01073830,0.11335116,0.15545768,1.20997759,,,,,,,,,,,,,,,,,,,
path_within_seed,pdl_reclaim_long,341110,stationary,167,1000,0.89380483,1.13651535,1.48743790,0.11323719,0.21548351,0.18700000,0.01233009,0.16404782,0.21234774,1.14529527,,,,,,,,,,,,,,,,,,,
path_within_seed,pdl_reclaim_long,605142,stationary,167,1000,0.91443675,1.17101675,1.50761413,0.10503852,0.19624109,0.15600000,0.01147449,0.13483132,0.17980149,1.18070965,,,,,,,,,,,,,,,,,,,
path_within_seed,pdl_reclaim_long,671194,stationary,167,1000,0.89915889,1.15675931,1.52269947,0.11285765,0.19933685,0.16100000,0.01162235,0.13952453,0.18507001,1.16928028,,,,,,,,,,,,,,,,,,,
path_within_seed,pdl_reclaim_long,683778,stationary,167,1000,0.84838703,1.09256044,1.38733985,0.13009325,0.23681610,0.31900000,0.01473903,0.29085168,0.34853360,1.08365887,,,,,,,,,,,,,,,,,,,
path_within_seed,pdl_reclaim_long,692467,stationary,167,1000,0.87350515,1.09302882,1.35233097,0.11201931,0.20330644,0.25700000,0.01381850,0.23088202,0.28497779,1.09471528,,,,,,,,,,,,,,,,,,,
path_within_seed,pdl_reclaim_long,693857,stationary,167,1000,0.84862223,1.06996490,1.36646736,0.12224713,0.22643124,0.33500000,0.01492565,0.30642688,0.36483595,1.07581123,,,,,,,,,,,,,,,,,,,
path_within_seed,pdl_reclaim_long,707014,stationary,167,1000,0.83987302,1.08652364,1.44294127,0.13432582,0.25303453,0.31000000,0.01462532,0.28210765,0.33934652,1.08957656,,,,,,,,,,,,,,,,,,,
path_within_seed,pdl_reclaim_long,765570,stationary,167,1000,0.90416647,1.18305201,1.58519021,0.12189732,0.21944819,0.14900000,0.01126051,0.12827436,0.17241202,1.17902961,,,,,,,,,,,,,,,,,,,
path_within_seed,pdl_reclaim_long,891022,stationary,167,1000,0.91201939,1.19484530,1.62584802,0.12048092,0.22139784,0.14300000,0.01107028,0.12266732,0.16606499,1.19794472,,,,,,,,,,,,,,,,,,,
