family,seed,n_trades,share_best_trade,share_top5,share_top_1pct,share_top_5pct,share_top_10pct,ret_without_best_1,ret_without_best_3,ret_without_best_5,ret_without_best_10,ret_without_worst_1,ret_without_worst_3,ret_without_worst_5,ret_without_worst_10,profit_hhi_positive_trades,win_rate,payoff_ratio,holding_bars_median,max_consecutive_losses,max_trades_without_new_high,obs_trade_seq_mdd,perm_trade_seq_mdd_p50,perm_trade_seq_mdd_p95,obs_mdd_percentile_in_perm
pdl_reclaim_long,278037,149,0.07302724,0.25369554,0.12617785,0.34343040,0.50252888,0.20652977,0.10002267,0.02573063,-0.09560161,0.32747751,0.38146835,0.42489378,0.52147469,0.02596886,0.46979866,1.59189144,5.00000000,7,54,0.12454084,0.09571917,0.14949445,0.83500000
pdl_reclaim_long,341110,141,0.08556466,0.26252166,0.14408708,0.34413948,0.50393208,0.14400696,0.05864369,-0.00159626,-0.09684067,0.25868714,0.31399783,0.35940517,0.45202994,0.02722143,0.50354610,1.34950713,6.00000000,5,32,0.08083126,0.08957475,0.14369629,0.35200000
pdl_reclaim_long,605142,114,0.09221907,0.32636385,0.17599525,0.36671431,0.52366666,0.16518239,0.05020660,-0.01335779,-0.11355216,0.28198529,0.32628637,0.36232819,0.45157051,0.03604834,0.48245614,1.56912648,6.00000000,6,28,0.08371955,0.08487880,0.13230263,0.48400000
pdl_reclaim_long,671194,127,0.08879624,0.31425043,0.16946296,0.38211271,0.52715683,0.15785957,0.04360637,-0.01955853,-0.11912321,0.27392840,0.32492808,0.36534098,0.45656185,0.03363048,0.51181102,1.35631975,6.00000000,6,25,0.08333222,0.08705881,0.13745124,0.41600000
pdl_reclaim_long,683778,123,0.09433683,0.33385859,0.18003687,0.40016768,0.55525186,0.07156159,-0.03417605,-0.09263313,-0.18235644,0.17897954,0.23154306,0.27410104,0.36273899,0.03685686,0.45528455,1.50717679,6.00000000,5,37,0.08571340,0.10526159,0.16273777,0.22600000
pdl_reclaim_long,692467,114,0.09411478,0.30837000,0.16497230,0.34221570,0.51144034,0.08590428,0.00487650,-0.05230394,-0.13869386,0.18789156,0.23569644,0.27338759,0.35649217,0.03455012,0.46491228,1.50291766,6.00000000,10,29,0.09945948,0.08957981,0.14248082,0.65000000
pdl_reclaim_long,693857,113,0.10682830,0.32026058,0.17989411,0.35516110,0.53306938,0.05989458,-0.01919241,-0.07075666,-0.15723243,0.16614298,0.21738699,0.25945577,0.34527037,0.03708287,0.49557522,1.29245017,6.00000000,10,23,0.07907060,0.09649624,0.14723930,0.23200000
pdl_reclaim_long,707014,125,0.09309229,0.32076988,0.16897745,0.38687069,0.54866874,0.07756918,-0.02300523,-0.08213843,-0.17699463,0.18558935,0.23768790,0.28264428,0.37468064,0.03533968,0.48000000,1.37328573,6.00000000,10,42,0.10081681,0.10343595,0.15989828,0.46800000
pdl_reclaim_long,765570,141,0.07808528,0.30341143,0.14902165,0.40601115,0.56747088,0.17397722,0.05516851,-0.02789173,-0.14794812,0.29166176,0.34842146,0.39740001,0.49717274,0.03142406,0.46808511,1.57837240,6.00000000,10,35,0.07907060,0.09839224,0.15039352,0.19800000
pdl_reclaim_long,891022,153,0.07378254,0.25631944,0.12748287,0.34698241,0.52288396,0.19764283,0.09192023,0.01817540,-0.10174175,0.31769970,0.37560359,0.42313981,0.52074022,0.02606690,0.48366013,1.49483544,5.00000000,6,40,0.08083126,0.09540269,0.14416995,0.24100000
volatility_breakout,278037,115,0.29551261,0.67602231,0.40390683,0.72855941,0.90253653,-0.66466259,-0.74881524,-0.80143094,-0.84671540,-0.28169847,0.12753463,0.41217483,0.99514056,0.13312549,0.31304348,1.67172226,2.00000000,9,114,0.51915353,0.64801062,0.76125727,0.02700000
volatility_breakout,341110,140,0.16473783,0.42754944,0.25869319,0.50299096,0.66018174,-0.24401000,-0.46198327,-0.57215613,-0.69520289,0.56273530,1.29068700,1.77642958,2.69054972,0.05630431,0.40000000,1.73390911,46.00000000,10,72,0.47118760,0.50543471,0.63889057,0.36900000
volatility_breakout,605142,119,0.21293279,0.53670016,0.32037875,0.58559471,0.75994783,-0.11601744,-0.38068462,-0.52011938,-0.66219905,0.64351309,1.11721523,1.54269475,2.18657887,0.08354353,0.42857143,1.71296105,28.00000000,7,46,0.28886002,0.40324619,0.55352823,0.04300000
