family,seed,total_return_net,sharpe_concat_ann,max_drawdown_pos,mdd_duration_days,time_under_water_share,n_trades
pdl_reclaim_long,278037,0.209978,0.621729,0.148158,631.416667,0.989563,149
pdl_reclaim_long,341110,0.145295,0.502515,0.093085,351.375000,0.990242,141
pdl_reclaim_long,605142,0.180710,0.596918,0.094750,456.625000,0.989841,114
pdl_reclaim_long,671194,0.169280,0.558732,0.096095,353.958333,0.989748,127
pdl_reclaim_long,683778,0.083659,0.301744,0.097471,507.000000,0.990613,123
pdl_reclaim_long,692467,0.094715,0.359268,0.111933,656.250000,0.990520,114
pdl_reclaim_long,693857,0.075811,0.300054,0.087698,299.750000,0.990798,113
pdl_reclaim_long,707014,0.089577,0.323397,0.123340,927.833333,0.990644,125
pdl_reclaim_long,765570,0.179030,0.540662,0.087698,329.791667,0.990026,141
pdl_reclaim_long,891022,0.197945,0.609102,0.093085,331.458333,0.990088,153
volatility_breakout,278037,-0.489028,-0.457137,0.530859,1189.291667,0.986136,115
volatility_breakout,341110,0.055999,0.215241,0.481596,600.333333,0.971036,140
volatility_breakout,605142,0.257685,0.353972,0.323923,537.666667,0.942720,119
volatility_breakout,671194,0.073851,0.215511,0.397699,635.375000,0.971715,150
volatility_breakout,683778,-0.129676,0.058528,0.491725,1189.291667,0.989687,168
volatility_breakout,692467,0.126689,0.261111,0.445530,539.208333,0.987309,140
volatility_breakout,693857,0.823644,0.655554,0.357560,377.916667,0.919129,129
volatility_breakout,707014,-0.561684,-0.536792,0.680377,1189.291667,0.913880,138
volatility_breakout,765570,-0.378243,-0.439168,0.517474,1189.291667,0.923360,127
volatility_breakout,891022,1.314373,0.835479,0.418911,293.791667,0.986012,190
