family,multiplier,0.9,0.8,0.7,0.5
pdl_reclaim_long,0.250000,0.000750,0.000000,0.000000,0.000000
pdl_reclaim_long,0.500000,0.035000,0.000000,0.000000,0.000000
pdl_reclaim_long,0.750000,0.121250,0.007000,0.000000,0.000000
pdl_reclaim_long,1.000000,0.217750,0.029750,0.001500,0.000000
pdl_reclaim_long,1.250000,0.305750,0.065750,0.009250,0.000000
pdl_reclaim_long,1.500000,0.375500,0.114000,0.023000,0.000000
pdl_reclaim_long,2.000000,0.480000,0.213500,0.073500,0.003500
volatility_breakout,0.250000,0.419750,0.158500,0.038750,0.000250
volatility_breakout,0.500000,0.666500,0.421500,0.246500,0.049000
volatility_breakout,0.750000,0.774000,0.584750,0.418250,0.171500
volatility_breakout,1.000000,0.841250,0.686250,0.544500,0.292250
volatility_breakout,1.250000,0.881750,0.756500,0.637000,0.400500
volatility_breakout,1.500000,0.907750,0.809750,0.707250,0.495000
volatility_breakout,2.000000,0.939250,0.879750,0.810000,0.637250
