family,method,block,is_primary,terminal_p05,terminal_p50,terminal_p95,mdd_p95,prob_terminal_below_1
pdl_reclaim_long,stationary,24,false,0.880132,1.132467,1.517074,0.219390,0.212000
pdl_reclaim_long,stationary,167,true,0.881165,1.134374,1.498586,0.220231,0.207000
pdl_reclaim_long,stationary,168,false,0.879580,1.140863,1.500184,0.219522,0.203000
pdl_reclaim_long,stationary,720,false,0.891956,1.142749,1.487937,0.210412,0.188500
pdl_reclaim_long,circular_mbb,24,false,0.876843,1.133304,1.514645,0.225392,0.213000
pdl_reclaim_long,circular_mbb,167,false,0.872307,1.134925,1.516563,0.220198,0.219000
pdl_reclaim_long,circular_mbb,168,false,0.867053,1.135489,1.524444,0.224985,0.209000
pdl_reclaim_long,circular_mbb,720,false,0.892972,1.142943,1.477861,0.212203,0.211500
volatility_breakout,stationary,24,false,0.272124,0.951085,3.632097,0.789921,0.522500
volatility_breakout,stationary,168,true,0.288342,0.969079,3.562536,0.793462,0.513000
volatility_breakout,stationary,720,false,0.299994,0.964364,3.690776,0.787759,0.521500
volatility_breakout,circular_mbb,24,false,0.270734,0.956067,3.468645,0.795576,0.522500
volatility_breakout,circular_mbb,168,false,0.268321,0.973152,3.446495,0.803777,0.515000
volatility_breakout,circular_mbb,720,false,0.255135,0.950859,3.802307,0.805394,0.529500
