scaffold,target_sharpe,symbol,n_runs,mean_realised_sharpe,mean_total_return,bh_total_return,mean_n_trades,pass_rate_positive_total_return,pass_rate_bootstrap_sharpe_ci_excludes_zero,pass_rate_survives_double_costs,pass_rate_beats_buy_and_hold,pass_rate_survives_drop_top_trades,pass_rate_not_confined_to_one_fold,pass_rate_min_oos_trades_met
volatility_breakout,0.0,BTCUSDT,500,-0.03581177608722221,-0.022412355986303045,0.522747844787544,141.6,0.364,0.03,0.268,0.142,0.038,0.822,1.0
volatility_breakout,0.0,ETHUSDT,500,-0.004279709066839683,0.025833147680674597,-0.2190192992677874,163.4,0.346,0.028,0.284,0.458,0.026,0.846,1.0
volatility_breakout,0.3,BTCUSDT,500,0.31749450260071077,0.47752619852572,0.522747844787544,141.6,0.586,0.126,0.494,0.352,0.128,0.808,1.0
volatility_breakout,0.3,ETHUSDT,500,0.32244297527777666,0.6586355844482289,-0.2190192992677874,163.4,0.574,0.11,0.506,0.69,0.1,0.766,1.0
volatility_breakout,0.5,BTCUSDT,500,0.4729122083999299,0.7709518152963392,0.522747844787544,141.6,0.708,0.192,0.636,0.454,0.2,0.806,1.0
volatility_breakout,0.5,ETHUSDT,500,0.47903259775254065,1.1388361345601257,-0.2190192992677874,163.4,0.682,0.17,0.598,0.786,0.166,0.79,1.0
volatility_breakout,1.0,BTCUSDT,500,1.0210383967915844,2.289589973041794,0.522747844787544,141.6,0.95,0.544,0.924,0.852,0.534,0.918,1.0
volatility_breakout,1.0,ETHUSDT,500,1.0048651572446097,3.5407926095423883,-0.2190192992677874,163.4,0.946,0.494,0.914,0.976,0.484,0.896,1.0
momentum,0.0,BTCUSDT,500,0.005177116187051021,-0.0006466584794601573,0.522747844787544,306.3,0.384,0.03,0.206,0.142,0.072,0.834,1.0
momentum,0.0,ETHUSDT,500,-0.011268734355721649,-0.035729564617327236,-0.2190192992677874,231.7,0.372,0.02,0.246,0.506,0.05,0.796,1.0
momentum,0.3,BTCUSDT,500,0.28283956056379533,0.36167324112250915,0.522747844787544,306.3,0.598,0.088,0.392,0.32,0.196,0.804,1.0
momentum,0.3,ETHUSDT,500,0.29077219588306696,0.4347044698840258,-0.2190192992677874,231.7,0.578,0.072,0.462,0.728,0.138,0.818,1.0
momentum,0.5,BTCUSDT,500,0.47063115675337924,0.666944804480954,0.522747844787544,306.3,0.742,0.142,0.55,0.466,0.298,0.808,1.0
momentum,0.5,ETHUSDT,500,0.4890395971252077,0.8928516469227545,-0.2190192992677874,231.7,0.74,0.154,0.598,0.842,0.256,0.782,1.0
momentum,1.0,BTCUSDT,500,1.0046939921166087,2.06055398830438,0.522747844787544,306.3,0.95,0.512,0.862,0.818,0.716,0.92,1.0
momentum,1.0,ETHUSDT,500,1.0118391391117165,2.784205988273567,-0.2190192992677874,231.7,0.942,0.504,0.892,0.958,0.668,0.922,1.0
